---------------------------------
| Contestant  #  | Overall Time |
| Contestant 128 | 259.62132094 |
| Contestant 667 | 259.66953705 |
| Contestant 357 | 260.45032694 |
| Contestant 866 | 260.52168255 |
| Contestant 997 | 260.54104153 |
| Contestant 489 | 260.77696016 |
| Contestant 482 | 260.90522971 |
| Contestant 959 | 260.91714663 |
| Contestant 169 | 260.99876804 |
| Contestant 242 | 261.27767778 |
| Contestant 184 | 261.31853950 |
| Contestant 730 | 261.38331429 |
| Contestant 750 | 261.38949943 |
| Contestant 549 | 261.70176547 |
| Contestant 753 | 262.02596274 |
| Contestant 932 | 262.13975970 |
| Contestant 014 | 262.21065973 |
| Contestant 619 | 262.34095087 |
| Contestant 855 | 262.41449392 |
| Contestant 785 | 262.46919758 |
| Contestant 767 | 262.52787141 |
| Contestant 166 | 262.67641927 |
| Contestant 682 | 262.78877314 |
| Contestant 500 | 262.99427101 |
| Contestant 655 | 263.11595985 |
| Contestant 310 | 263.15985551 |
| Contestant 218 | 263.30219151 |
| Contestant 266 | 263.80149869 |
| Contestant 570 | 263.81600843 |
| Contestant 517 | 263.84903102 |
| Contestant 805 | 263.95739549 |
| Contestant 727 | 264.09373643 |
| Contestant 111 | 264.11150166 |
| Contestant 080 | 264.11590061 |
| Contestant 687 | 264.88361099 |
| Contestant 671 | 265.05387724 |
| Contestant 133 | 265.28478533 |
| Contestant 747 | 265.34921675 |
| Contestant 141 | 265.87376328 |
| Contestant 749 | 266.00044540 |
| Contestant 565 | 266.01920696 |
| Contestant 276 | 266.35203919 |
| Contestant 477 | 266.48599622 |
| Contestant 822 | 266.60727974 |
| Contestant 931 | 266.75606843 |
| Contestant 710 | 266.98619301 |
| Contestant 182 | 267.10007764 |
| Contestant 509 | 267.25409943 |
| Contestant 604 | 267.74886415 |
| Contestant 729 | 267.82743453 |
| Contestant 631 | 268.04697277 |
| Contestant 734 | 268.14905385 |
| Contestant 433 | 268.54059824 |
| Contestant 484 | 268.68467915 |
| Contestant 109 | 268.77469484 |
| Contestant 766 | 268.82569184 |
| Contestant 212 | 268.86241258 |
| Contestant 782 | 269.01799055 |
| Contestant 272 | 269.45122339 |
| Contestant 791 | 269.56145534 |
| Contestant 220 | 269.77058366 |
| Contestant 674 | 269.88244562 |
| Contestant 300 | 270.16836599 |
| Contestant 912 | 270.18124067 |
| Contestant 845 | 270.53375976 |
| Contestant 479 | 270.70510884 |
| Contestant 569 | 270.76146791 |
| Contestant 447 | 270.92536506 |
| Contestant 498 | 271.33487920 |
| Contestant 029 | 271.56098012 |
| Contestant 846 | 272.31892816 |
| Contestant 043 | 272.65525724 |
| Contestant 309 | 272.76101221 |
| Contestant 563 | 272.93618460 |
| Contestant 568 | 273.09656588 |
| Contestant 395 | 273.10413128 |
| Contestant 046 | 273.21009992 |
| Contestant 221 | 273.43647997 |
| Contestant 457 | 273.69045040 |
| Contestant 314 | 274.12168841 |
| Contestant 437 | 274.34590033 |
| Contestant 391 | 274.80971576 |
| Contestant 573 | 274.96764884 |
| Contestant 409 | 275.19700922 |
| Contestant 336 | 275.71079029 |
| Contestant 918 | 275.89212857 |
| Contestant 771 | 276.04716686 |
| Contestant 346 | 276.09373199 |
| Contestant 217 | 276.44117700 |
| Contestant 329 | 276.67596171 |
| Contestant 924 | 276.83141059 |
| Contestant 325 | 277.03580474 |
| Contestant 886 | 277.13037571 |
| Contestant 143 | 277.32663033 |
| Contestant 659 | 277.35992778 |
| Contestant 164 | 277.75983302 |
| Contestant 390 | 277.77226334 |
| Contestant 401 | 278.08789156 |
| Contestant 756 | 278.53906453 |
| Contestant 737 | 278.59654368 |
| Contestant 168 | 278.92704113 |
| Contestant 752 | 278.99779821 |
| Contestant 407 | 279.02953978 |
| Contestant 715 | 279.37385274 |
| Contestant 632 | 279.59946380 |
| Contestant 919 | 280.04265517 |
| Contestant 910 | 280.12328534 |
| Contestant 593 | 280.24423005 |
| Contestant 797 | 280.37013632 |
| Contestant 983 | 281.06984759 |
| Contestant 031 | 281.17883546 |
| Contestant 499 | 281.84367641 |
| Contestant 905 | 282.13730346 |
| Contestant 800 | 282.70507925 |
| Contestant 688 | 282.71650077 |
| Contestant 792 | 283.04676218 |
| Contestant 172 | 283.21782858 |
| Contestant 597 | 283.22032377 |
| Contestant 852 | 283.53901378 |
| Contestant 651 | 283.56090742 |
| Contestant 425 | 283.62474370 |
| Contestant 303 | 283.64523030 |
| Contestant 204 | 283.81115031 |
| Contestant 474 | 284.55044179 |
| Contestant 435 | 284.80911863 |
| Contestant 073 | 285.10381360 |
| Contestant 915 | 285.17294655 |
| Contestant 331 | 285.76844589 |
| Contestant 024 | 286.11018252 |
| Contestant 463 | 286.46153421 |
| Contestant 796 | 286.64464952 |
| Contestant 323 | 287.12806351 |
| Contestant 252 | 287.41645489 |
| Contestant 475 | 287.43263747 |
| Contestant 016 | 287.57124451 |
| Contestant 572 | 287.80799410 |
| Contestant 229 | 287.81813000 |
| Contestant 511 | 287.91539806 |
| Contestant 456 | 288.01224300 |
| Contestant 358 | 288.33258149 |
| Contestant 595 | 288.43627345 |
| Contestant 205 | 288.86101104 |
| Contestant 069 | 289.29429572 |
| Contestant 340 | 289.49913437 |
| Contestant 580 | 290.15691550 |
| Contestant 591 | 290.87406922 |
| Contestant 251 | 291.07034650 |
| Contestant 015 | 291.30214043 |
| Contestant 108 | 292.02525806 |
| Contestant 880 | 292.23900285 |
| Contestant 780 | 292.98548254 |
| Contestant 528 | 293.63581713 |
| Contestant 158 | 293.68839878 |
| Contestant 058 | 293.76057176 |
| Contestant 553 | 294.29455444 |
| Contestant 539 | 294.55089069 |
| Contestant 906 | 294.61868596 |
| Contestant 198 | 294.74347202 |
| Contestant 699 | 294.92189360 |
| Contestant 371 | 295.05989304 |
| Contestant 603 | 295.33664640 |
| Contestant 192 | 295.65572184 |
| Contestant 786 | 295.80436883 |
| Contestant 774 | 296.37021098 |
| Contestant 768 | 296.40496183 |
| Contestant 163 | 296.46111214 |
| Contestant 670 | 296.85125047 |
| Contestant 818 | 297.87272423 |
| Contestant 093 | 298.10130048 |
| Contestant 188 | 298.38035658 |
| Contestant 275 | 298.57650042 |
| Contestant 417 | 299.43746401 |
| Contestant 244 | 300.47457915 |
| Contestant 690 | 301.01928282 |
| Contestant 585 | 301.22861336 |
| Contestant 363 | 301.29442324 |
| Contestant 529 | 301.32170144 |
| Contestant 350 | 301.63424161 |
| Contestant 030 | 302.06690218 |
| Contestant 194 | 302.21498738 |
| Contestant 713 | 302.91084554 |
| Contestant 185 | 303.17730746 |
| Contestant 678 | 303.30790524 |
| Contestant 547 | 303.49610693 |
| Contestant 465 | 305.25488680 |
| Contestant 879 | 305.53994250 |
| Contestant 432 | 307.40327892 |
| Contestant 757 | 307.88254423 |
| Contestant 923 | 309.32977989 |
| Contestant 663 | 309.69927978 |
| Contestant 019 | 309.93389499 |
| Contestant 154 | 310.56090495 |
| Contestant 613 | 311.14722940 |
| Contestant 561 | 312.39582623 |
| Contestant 438 | 312.67500438 |
| Contestant 377 | 313.57217193 |
| Contestant 110 | 314.02824315 |
| Contestant 648 | 314.97231528 |
| Contestant 345 | 315.51508210 |
| Contestant 344 | 315.66580221 |
| Contestant 702 | 315.85274228 |
| Contestant 362 | 316.05510069 |
| Contestant 278 | 318.51791054 |
| Contestant 839 | 319.41980987 |
| Contestant 638 | 320.28898049 |
| Contestant 416 | 320.45196005 |
| Contestant 494 | 320.62611717 |
| Contestant 812 | 321.40367161 |
| Contestant 092 | 322.12665094 |
| Contestant 360 | 322.96929895 |
| Contestant 451 | 323.03214574 |
| Contestant 471 | 323.10619439 |
| Contestant 072 | 323.66451776 |
| Contestant 813 | 323.83953572 |
| Contestant 248 | 324.26966563 |
| Contestant 559 | 325.49507796 |
| Contestant 902 | 327.77912567 |
| Contestant 311 | 329.86761269 |
| Contestant 461 | 333.94188009 |
| Contestant 413 | 334.92614380 |
| Contestant 888 | 337.70576681 |
| Contestant 708 | 338.67291530 |
| Contestant 668 | 339.74433236 |
| Contestant 150 | 352.06034746 |
| Contestant 823 | 358.47611100 |
---------------------------------
Overall, the runners spent 216390.84072899 seconds running total.
